% Device,11E101660
% File name,11E101660_20110922_130712
% Cast time (UTC),2011-09-22 13:07:12
% Cast time (local),2011-09-22 10:07:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9287626
% Start longitude,-43.1438954
% Start altitude,-3.4000000953674316
% Start GPS horizontal error(Meter),2,90000009536743
% Start GPS vertical error(Meter),10,539999961853
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-02
% Temperature calibration date,2011-06-02
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14968720904304136,21.4284610748291,48372.8046875,52093.91348287119,34.203113968958981,1524.4748813250963,1023.7726382740256
0.44999999999999996,0.44902791679712467,21.104222715434169,48289.858430064283,52370.320532373313,34.396626037701779,1523.8250262614131,1024.0096693865041
0.74999999999999989,0.74830054346226316,20.580874351610877,47900.87585594118,52544.928697981755,34.507532033280377,1522.5348045207459,1024.2365926880464
1.05,1.0475266478708996,20.407638741552709,47798.375859694934,52632.5274605773,34.565723069259171,1522.1307753562837,1024.32848944754
1.35,1.3467352071649379,20.334963660597019,47738.17537890988,52650.505839493613,34.5761830251167,1521.9480114814114,1024.3571036451194
1.65,1.6459289804748389,20.161197104677719,47604.635336960018,52705.240769657554,34.609845662940849,1521.5121851635161,1024.4301266739335
1.9500000000000002,1.9451040265086206,20.057375925022313,47543.4011529222,52758.732812177914,34.645126674282892,1521.2697326089995,1024.4857393466314
2.25,2.2442625008371175,19.894794345217758,47402.575591490211,52792.953262007293,34.663785863031258,1520.8447850783784,1024.5440154877558
2.55,2.5433912621916965,19.61213637646124,47230.38819110972,52934.461367815093,34.75624697071499,1520.1650360874403,1024.6896717105665
2.85,2.842462402223886,19.170188702363749,46996.646641570253,53199.508562497089,34.9319069672871,1519.1232998630987,1024.9392461484845
